gid_a,gid_b,a_to_b_kzt,b_to_a_kzt,returned_share,n_tx
100000008659445100,100000008736940100,252500.0,77300.0,0.306,8
100000004041163100,100000005382566100,166000.0,50000.0,0.301,5
100000000831684100,100000004692798100,50000.0,15000.0,0.3,5
100000001732159100,100000008314203100,322076.0,95000.0,0.295,11
100000004351795100,100000008603629100,77000.0,22418.0,0.291,2
100000003923946100,100000003977183100,82000.0,282000.0,0.291,4
100000000607941100,100000003406094100,70000.0,20000.0,0.286,5
100000003016635100,100000005287097100,110723.0,392500.0,0.282,29
100000001697501100,100000002527114100,90000.0,25000.0,0.278,3
100000001677929100,100000002394199100,277398.0,76777.0,0.277,4
100000002267998100,100000003701161100,850000.0,220000.0,0.259,11
100000008314203100,100000008637537100,232000.0,60000.0,0.259,12
100000006443391100,100000006912294100,6335.09,25000.0,0.253,2
100000004386258100,100000004386331100,20000.0,5000.0,0.25,2
100000007639767100,100000008603629100,98250.0,23722.0,0.241,5
100000002781227100,100000002796853100,199000.0,46167.62,0.232,13
100000005664922100,100000008686247100,22000.0,5000.0,0.227,3
100000003016635100,100000004188160100,79262.0,18000.0,0.227,6
100000003148220100,100000004971871100,25400.0,5650.0,0.222,4
100000004552204100,100000007322059100,5000.0,22500.0,0.222,3
100000006866783100,100000008686313100,225181.0,48100.0,0.214,6
100000004479404100,100000004717647100,300000.0,1480000.0,0.203,8
100000003016635100,100000004330371100,96671.0,18981.0,0.196,5
100000002870463100,100000005142492100,10000.0,57000.0,0.175,2
100000001732159100,100000008637537100,381890.0,2283100.0,0.167,38
100000004071070100,100000004071080100,6000.0,36000.0,0.167,5
100000001232297100,100000005074393100,30000.0,5000.0,0.167,2
100000006866783100,100000008304139100,23567.0,144000.0,0.164,7
100000003213473100,100000004400305100,9000.0,57500.0,0.157,3
100000001697501100,100000006612238100,160000.0,25000.0,0.156,2
100000002941114100,100000005168487100,15000.0,103510.0,0.145,15
100000001526235100,100000001788284100,8000.0,56000.0,0.143,3
100000006169033100,100000008011159100,346000.0,49000.0,0.142,5
100000004135268100,100000008571433100,150000.0,1064000.0,0.141,3
100000002741024100,100000008680912100,45112.0,5990.85,0.133,3
100000002692750100,100000003636627100,77000.0,10000.0,0.13,9
100000002733905100,100000005342513100,235000.0,30000.0,0.128,3
100000003016635100,100000008169544100,137104.0,17300.0,0.126,5
100000001893287100,100000004698193100,152700.0,18000.0,0.118,17
100000001609499100,100000006866783100,11000.0,93937.0,0.117,2
100000002224132100,100000004603109100,2580000.0,300000.0,0.116,7
100000003886323100,100000007749092100,7650.0,70375.0,0.109,6
100000004544958100,100000004677680100,18000.0,168000.0,0.107,4
100000003242289100,100000008512552100,49000.0,468791.0,0.105,7
100000000274067100,100000002958343100,2900000.0,300000.0,0.103,12
100000003115284100,100000003360542100,307000.0,30500.0,0.099,5
100000008086440100,100000008477350100,18900.0,199733.0,0.095,2
100000005074393100,100000005882013100,120000.0,10000.0,0.083,3
100000000673868100,100000008258083100,149500.0,2030650.0,0.074,17
100000002731501100,100000004160650100,40000.0,550370.0,0.073,7
100000000706545100,100000006901046100,75800.0,5500.0,0.073,4
100000000437046100,100000008293431100,15000.0,215000.0,0.07,3
100000001857829100,100000008603629100,26000.0,408000.0,0.064,3
100000001600934100,100000005140601100,11000.0,180300.0,0.061,3
100000001166289100,100000002733905100,25000.0,482839.0,0.052,2
100000002731501100,100000004007116100,201960.0,10000.0,0.05,4
100000001380054100,100000005077484100,150000.0,7050.0,0.047,2
100000002224132100,100000004892144100,4400000.0,180300.0,0.041,7
100000005660203100,100000006518161100,23000.0,572899.0,0.04,16
100000002175422100,100000003557488100,664992.0,20000.0,0.03,5
100000001965374100,100000005820746100,1989000.0,60000.0,0.03,3
100000005473151100,100000008545727100,30000.0,1060000.0,0.028,2
100000000437046100,100000008686313100,1104983.0,29200.0,0.026,7
100000000594783100,100000002224132100,60000.0,2635000.0,0.023,11
100000005456919100,100000008659445100,5000.0,263950.0,0.019,6
100000002175422100,100000002975437100,530000.0,8500.0,0.016,3
100000000580561100,100000007939160100,795000.0,9300.0,0.012,3
100000002578405100,100000005041905100,5000.0,1080351.0,0.005,6
100000006274203100,100000007594394100,5000.0,3376312.0,0.001,41
