gid_a,gid_b,a_to_b_kzt,b_to_a_kzt,returned_share,n_tx
100000003509750100,100000004697956100,10000.0,10000.0,1.0,2
100000001526235100,100000005505655100,20000.0,20000.0,1.0,2
100000000850297100,100000006707582100,17520.0,17520.0,1.0,2
100000005367445100,100000005413948100,5000.0,5000.0,1.0,2
100000007689942100,100000008546855100,5000.0,5000.0,1.0,2
100000003917461100,100000004386258100,10000.0,10000.0,1.0,2
100000004508696100,100000005911352100,7000.0,7000.0,1.0,2
100000000201868100,100000006069103100,190000.0,190000.0,1.0,2
100000003701161100,100000003718221100,120000.0,120000.0,1.0,6
100000000076451100,100000007131370100,30000.0,30000.0,1.0,2
100000008389800100,100000008430691100,20000.0,20000.0,1.0,2
100000007511163100,100000008389800100,49000.0,49000.0,1.0,2
100000003299365100,100000003684369100,200000.0,200000.0,1.0,2
100000000667713100,100000008636603100,12750.0,12750.0,1.0,2
100000002527114100,100000003942602100,30000.0,30000.0,1.0,2
100000000933075100,100000002193259100,40000.0,40000.0,1.0,2
100000003001661100,100000007382543100,110000.0,110000.0,1.0,2
100000003796063100,100000008111003100,35000.0,35000.0,1.0,2
100000001616816100,100000001937767100,53000.0,53000.0,1.0,2
100000001439416100,100000002741024100,10000.0,10000.0,1.0,2
100000008546855100,100000008582730100,5000.0,5000.0,1.0,2
100000004017410100,100000005519998100,142000.0,141000.0,0.993,7
100000004221668100,100000005171642100,690600.0,683600.0,0.99,8
100000001382002100,100000005584222100,56500.0,55000.0,0.973,5
100000005037490100,100000008733194100,14000.0,15000.0,0.933,2
100000005048668100,100000008346837100,7000.0,6500.0,0.929,2
100000000011452100,100000005140601100,16685.0,15000.0,0.899,5
100000004017410100,100000004336312100,58915.0,52650.0,0.894,6
100000003616818100,100000004005964100,40000.0,35000.0,0.875,5
100000003741418100,100000006111439100,5720.0,5000.0,0.874,2
100000002267998100,100000003718221100,230000.0,200000.0,0.87,4
100000007593823100,100000008346837100,5800.0,5000.0,0.862,2
100000004070318100,100000004400305100,19800.0,23000.0,0.861,2
100000002738256100,100000004135268100,175000.0,150200.0,0.858,2
100000001899164100,100000002193259100,8000.0,9500.0,0.842,2
100000004569484100,100000005933757100,39000.0,32607.0,0.836,2
100000004180097100,100000004765639100,5000.0,6000.0,0.833,2
100000002723538100,100000008603629100,85000.0,70647.0,0.831,3
100000001049200100,100000003016635100,5000.0,6014.0,0.831,2
100000002957787100,100000005268319100,19712.8,24000.0,0.821,5
100000003946524100,100000007898453100,24750.0,20000.0,0.808,2
100000001660397100,100000006866783100,24000.0,19300.0,0.804,3
100000003616818100,100000004160650100,35100.0,28000.0,0.798,3
100000001808684100,100000003509750100,37700.0,48400.0,0.779,5
100000004390333100,100000006866783100,60000.0,45751.0,0.763,2
100000004070318100,100000006866783100,85000.0,64725.0,0.761,6
100000001380054100,100000006232815100,160000.0,120000.0,0.75,3
100000008603629100,100000008686313100,75693.0,55500.0,0.733,3
100000008443341100,100000008474308100,14000.0,10000.0,0.714,3
100000004475818100,100000005665181100,18498.0,13000.0,0.703,2
100000002812641100,100000002838861100,7023.95,10000.0,0.702,2
100000003988112100,100000004403675100,64000.0,92000.0,0.696,7
100000006385877100,100000006443391100,36602.93,53706.62,0.682,10
100000007390016100,100000008324800100,346500.0,511000.0,0.678,27
100000002132479100,100000004159526100,20000.0,30000.0,0.667,3
100000000031787100,100000000267734100,60000.0,90000.0,0.667,5
100000000580561100,100000003888271100,12177.0,18680.0,0.652,4
100000008193577100,100000008659445100,56190.0,87000.0,0.646,8
100000001445848100,100000002217161100,351850.0,546000.0,0.644,27
100000001616816100,100000004015047100,110500.0,69195.0,0.626,15
100000004569484100,100000005704413100,41000.0,65705.0,0.624,3
100000004759121100,100000006844768100,282000.0,175000.0,0.621,9
100000001697501100,100000002578405100,120000.0,73700.0,0.614,3
100000002293421100,100000004180097100,22000.0,36000.0,0.611,8
100000008547844100,100000008547948100,61000.0,100000.0,0.61,3
100000004847758100,100000008603629100,42000.0,25612.0,0.61,3
100000003635170100,100000004209339100,138500.0,232500.0,0.596,16
100000004820260100,100000005339662100,135850.0,234200.0,0.58,18
100000001677929100,100000001740277100,8700.0,5000.0,0.575,2
100000002391278100,100000004221668100,52700.0,30000.0,0.569,7
100000000297649100,100000001899164100,70600.0,40000.0,0.567,3
100000008748914100,100000008762832100,150000.0,85000.0,0.567,5
100000000437046100,100000007639767100,27868.0,50000.0,0.557,2
100000001872484100,100000008601794100,475400.0,871400.0,0.546,20
100000008193577100,100000008736940100,125990.0,67300.0,0.534,7
100000003016635100,100000006579678100,42930.0,81600.0,0.526,2
100000008736940100,100000008751429100,37500.0,72600.0,0.517,4
100000003809101100,100000008254069100,10200.0,20000.0,0.51,4
100000000791285100,100000008461532100,560000.0,1120000.0,0.5,3
100000004076740100,100000005519998100,20000.0,40000.0,0.5,4
100000002612809100,100000005507142100,15000.0,30000.0,0.5,3
100000005546031100,100000005547096100,8000.0,16300.0,0.491,3
100000001138283100,100000008603629100,40000.0,81805.0,0.489,2
100000002741024100,100000007629096100,360000.0,765205.0,0.47,6
100000003635170100,100000005602999100,5000.0,11000.0,0.455,3
100000000089154100,100000006866783100,22000.0,10000.0,0.455,2
100000002527114100,100000006656003100,20000.0,9000.0,0.45,2
100000003237045100,100000006579678100,150000.0,340200.0,0.441,3
100000004715209100,100000008603331100,11500.0,5000.0,0.435,3
100000006866783100,100000007639767100,23018.0,10000.0,0.434,2
100000005264874100,100000005507142100,13000.0,30000.0,0.433,2
100000004330371100,100000006534886100,71700.0,167500.0,0.428,13
100000002156381100,100000002696152100,21800.0,51000.0,0.427,9
100000002963189100,100000005933757100,1150000.0,490000.0,0.426,6
100000000291906100,100000004670388100,160354.0,380000.0,0.422,3
100000004407753100,100000007382543100,100000.0,250000.0,0.4,5
100000004005964100,100000004007116100,27000.0,10000.0,0.37,3
100000004076740100,100000004467157100,20000.0,7000.0,0.35,4
100000002175422100,100000003004487100,115000.0,40000.0,0.348,8
100000008489922100,100000008547948100,30000.0,87000.0,0.345,2
100000004299488100,100000007055802100,204999.0,605000.0,0.339,16
100000005175148100,100000005339662100,15000.0,5000.0,0.333,2
100000000076451100,100000004629688100,5000.0,15000.0,0.333,3
100000001857829100,100000003880331100,100000.0,300000.0,0.333,4
100000000838385100,100000008213966100,145000.0,436900.0,0.332,13
100000004156082100,100000005287097100,16450.0,50500.0,0.326,3
100000000926766100,100000001526235100,6000.0,18750.0,0.32,2
100000000661912100,100000003131016100,405700.0,126000.0,0.311,11
