length,path,min_leg_kzt,total_kzt
6,100000004070318100 -> 100000008346837100 -> 100000005910114100 -> 100000008603629100 -> 100000008686313100 -> 100000006866783100 -> 100000004070318100,48100.0,573210.0
6,100000008686313100 -> 100000006866783100 -> 100000004351795100 -> 100000003242289100 -> 100000008304139100 -> 100000008603629100 -> 100000008686313100,48100.0,491767.0
6,100000008686313100 -> 100000006866783100 -> 100000004351795100 -> 100000000437046100 -> 100000001279272100 -> 100000000331309100 -> 100000008686313100,48100.0,1409546.0
4,100000008686313100 -> 100000006866783100 -> 100000004351795100 -> 100000008603629100 -> 100000008686313100,48100.0,267197.0
2,100000008686313100 -> 100000006866783100 -> 100000008686313100,48100.0,273281.0
4,100000008686313100 -> 100000006866783100 -> 100000004351795100 -> 100000000437046100 -> 100000008686313100,48100.0,1761487.0
4,100000008686313100 -> 100000006866783100 -> 100000004403675100 -> 100000000331309100 -> 100000008686313100,47187.0,527764.0
2,100000002796853100 -> 100000002781227100 -> 100000002796853100,46167.62,245167.62
6,100000004070318100 -> 100000008346837100 -> 100000005910114100 -> 100000006866783100 -> 100000004390333100 -> 100000000437046100 -> 100000004070318100,45751.0,629531.0
4,100000008686313100 -> 100000006866783100 -> 100000004390333100 -> 100000008603629100 -> 100000008686313100,45751.0,229544.0
6,100000008686313100 -> 100000006866783100 -> 100000004390333100 -> 100000000437046100 -> 100000001279272100 -> 100000000331309100 -> 100000008686313100,45751.0,946893.0
4,100000008686313100 -> 100000006866783100 -> 100000004390333100 -> 100000000437046100 -> 100000008686313100,45751.0,1298834.0
4,100000004070318100 -> 100000006866783100 -> 100000004390333100 -> 100000000437046100 -> 100000004070318100,45751.0,320751.0
2,100000004390333100 -> 100000006866783100 -> 100000004390333100,45751.0,105751.0
3,100000008686313100 -> 100000006866783100 -> 100000008137435100 -> 100000008686313100,43906.0,143406.0
2,100000006579678100 -> 100000003016635100 -> 100000006579678100,42930.0,124530.0
2,100000005704413100 -> 100000004569484100 -> 100000005704413100,41000.0,106705.0
6,100000008686313100 -> 100000006866783100 -> 100000004390333100 -> 100000008477350100 -> 100000008086440100 -> 100000008603629100 -> 100000008686313100,40000.0,473177.0
6,100000008686313100 -> 100000006866783100 -> 100000004390333100 -> 100000008477350100 -> 100000008086440100 -> 100000000437046100 -> 100000008686313100,40000.0,1480067.0
2,100000002175422100 -> 100000003004487100 -> 100000002175422100,40000.0,155000.0
6,100000008686313100 -> 100000006866783100 -> 100000004390333100 -> 100000008477350100 -> 100000005910114100 -> 100000008603629100 -> 100000008686313100,40000.0,583135.0
6,100000008686313100 -> 100000006866783100 -> 100000004390333100 -> 100000008477350100 -> 100000003968044100 -> 100000008603629100 -> 100000008686313100,40000.0,345544.0
4,100000008603629100 -> 100000003178549100 -> 100000001857829100 -> 100000003880331100 -> 100000008603629100,40000.0,797000.0
6,100000004070318100 -> 100000006866783100 -> 100000004390333100 -> 100000008477350100 -> 100000008086440100 -> 100000000437046100 -> 100000004070318100,40000.0,501984.0
2,100000008603629100 -> 100000001138283100 -> 100000008603629100,40000.0,121805.0
2,100000004160650100 -> 100000002731501100 -> 100000004160650100,40000.0,590370.0
2,100000001899164100 -> 100000000297649100 -> 100000001899164100,40000.0,110600.0
6,100000008686313100 -> 100000008603629100 -> 100000003178549100 -> 100000001857829100 -> 100000003880331100 -> 100000000331309100 -> 100000008686313100,40000.0,947542.0
2,100000000933075100 -> 100000002193259100 -> 100000000933075100,40000.0,80000.0
4,100000004390333100 -> 100000008477350100 -> 100000005910114100 -> 100000006866783100 -> 100000004390333100,40000.0,468430.0
2,100000003509750100 -> 100000001808684100 -> 100000003509750100,37700.0,86100.0
2,100000008736940100 -> 100000008751429100 -> 100000008736940100,37500.0,110100.0
3,100000005578559100 -> 100000005704413100 -> 100000004569484100 -> 100000005578559100,36834.67,153539.66999999998
2,100000006385877100 -> 100000006443391100 -> 100000006385877100,36602.93,90309.55
6,100000004390333100 -> 100000008477350100 -> 100000005910114100 -> 100000008111003100 -> 100000003796063100 -> 100000006866783100 -> 100000004390333100,35000.0,385234.0
4,100000005910114100 -> 100000008111003100 -> 100000003796063100 -> 100000008477350100 -> 100000005910114100,35000.0,357983.0
6,100000004070318100 -> 100000006866783100 -> 100000002306369100 -> 100000008477350100 -> 100000008086440100 -> 100000000437046100 -> 100000004070318100,35000.0,524399.0
4,100000005910114100 -> 100000006866783100 -> 100000002306369100 -> 100000008477350100 -> 100000005910114100,35000.0,490845.0
6,100000005910114100 -> 100000006866783100 -> 100000002306369100 -> 100000008111003100 -> 100000003796063100 -> 100000008346837100 -> 100000005910114100,35000.0,604887.0
2,100000003616818100 -> 100000004005964100 -> 100000003616818100,35000.0,75000.0
3,100000004160650100 -> 100000004005964100 -> 100000003616818100 -> 100000004160650100,35000.0,118000.0
6,100000005910114100 -> 100000006866783100 -> 100000002306369100 -> 100000008111003100 -> 100000003796063100 -> 100000008477350100 -> 100000005910114100,35000.0,667845.0
4,100000006866783100 -> 100000002306369100 -> 100000008111003100 -> 100000003796063100 -> 100000006866783100,35000.0,226666.0
6,100000008686313100 -> 100000006866783100 -> 100000002306369100 -> 100000008111003100 -> 100000003796063100 -> 100000000331309100 -> 100000008686313100,35000.0,813508.0
6,100000004070318100 -> 100000008346837100 -> 100000005910114100 -> 100000008111003100 -> 100000003796063100 -> 100000006866783100 -> 100000004070318100,35000.0,375309.0
6,100000008686313100 -> 100000006866783100 -> 100000002306369100 -> 100000008477350100 -> 100000008086440100 -> 100000008603629100 -> 100000008686313100,35000.0,495592.0
6,100000008686313100 -> 100000006866783100 -> 100000002306369100 -> 100000008477350100 -> 100000008086440100 -> 100000000437046100 -> 100000008686313100,35000.0,1502482.0
6,100000008686313100 -> 100000006866783100 -> 100000002306369100 -> 100000008477350100 -> 100000005910114100 -> 100000008603629100 -> 100000008686313100,35000.0,605550.0
2,100000008111003100 -> 100000003796063100 -> 100000008111003100,35000.0,70000.0
6,100000008686313100 -> 100000006866783100 -> 100000002306369100 -> 100000008477350100 -> 100000003968044100 -> 100000008603629100 -> 100000008686313100,35000.0,367959.0
6,100000005910114100 -> 100000008111003100 -> 100000003796063100 -> 100000006866783100 -> 100000002306369100 -> 100000008477350100 -> 100000005910114100,35000.0,407649.0
4,100000005910114100 -> 100000008111003100 -> 100000003796063100 -> 100000008346837100 -> 100000005910114100,35000.0,295025.0
6,100000008086440100 -> 100000008603629100 -> 100000002723538100 -> 100000003242289100 -> 100000008304139100 -> 100000008477350100 -> 100000008086440100,33000.0,520850.0
6,100000008603629100 -> 100000002723538100 -> 100000003242289100 -> 100000008304139100 -> 100000008477350100 -> 100000003968044100 -> 100000008603629100,33000.0,393217.0
6,100000008603629100 -> 100000002723538100 -> 100000003242289100 -> 100000008304139100 -> 100000008477350100 -> 100000005910114100 -> 100000008603629100,33000.0,630808.0
6,100000008686313100 -> 100000008603629100 -> 100000002723538100 -> 100000003242289100 -> 100000008304139100 -> 100000006866783100 -> 100000008686313100,33000.0,621898.0
6,100000008603629100 -> 100000002723538100 -> 100000003242289100 -> 100000008304139100 -> 100000006866783100 -> 100000004390333100 -> 100000008603629100,33000.0,446968.0
4,100000008603629100 -> 100000002723538100 -> 100000003242289100 -> 100000008304139100 -> 100000008603629100,33000.0,356217.0
6,100000004351795100 -> 100000008603629100 -> 100000002723538100 -> 100000003242289100 -> 100000008304139100 -> 100000006866783100 -> 100000004351795100,33000.0,484621.0
6,100000008603629100 -> 100000002723538100 -> 100000003242289100 -> 100000008304139100 -> 100000001857829100 -> 100000003880331100 -> 100000008603629100,33000.0,947217.0
2,100000005933757100 -> 100000004569484100 -> 100000005933757100,32607.0,71607.0
2,100000003115284100 -> 100000003360542100 -> 100000003115284100,30500.0,337500.0
4,100000008547844100 -> 100000008465789100 -> 100000008466579100 -> 100000008547948100 -> 100000008547844100,30000.0,195099.0
2,100000003942602100 -> 100000002527114100 -> 100000003942602100,30000.0,60000.0
6,100000008686313100 -> 100000008603629100 -> 100000002723538100 -> 100000003242289100 -> 100000008304139100 -> 100000000437046100 -> 100000008686313100,30000.0,1387700.0
2,100000007131370100 -> 100000000076451100 -> 100000007131370100,30000.0,60000.0
6,100000004070318100 -> 100000006866783100 -> 100000004351795100 -> 100000003242289100 -> 100000008304139100 -> 100000000437046100 -> 100000004070318100,30000.0,413974.0
2,100000005342513100 -> 100000002733905100 -> 100000005342513100,30000.0,265000.0
2,100000008547948100 -> 100000008489922100 -> 100000008547948100,30000.0,117000.0
2,100000002391278100 -> 100000004221668100 -> 100000002391278100,30000.0,82700.0
5,100000008547844100 -> 100000008465789100 -> 100000008466579100 -> 100000008489922100 -> 100000008547948100 -> 100000008547844100,30000.0,313099.0
6,100000008686313100 -> 100000006866783100 -> 100000004351795100 -> 100000003242289100 -> 100000008304139100 -> 100000000437046100 -> 100000008686313100,30000.0,1392057.0
2,100000008545727100 -> 100000005473151100 -> 100000008545727100,30000.0,1090000.0
6,100000004070318100 -> 100000008346837100 -> 100000004351795100 -> 100000003242289100 -> 100000008304139100 -> 100000000437046100 -> 100000004070318100,29511.0,352140.0
6,100000004070318100 -> 100000008346837100 -> 100000004351795100 -> 100000003242289100 -> 100000008304139100 -> 100000006866783100 -> 100000004070318100,29511.0,440865.0
6,100000004070318100 -> 100000008346837100 -> 100000004351795100 -> 100000008603629100 -> 100000008686313100 -> 100000006866783100 -> 100000004070318100,29511.0,355088.0
4,100000004070318100 -> 100000008346837100 -> 100000004351795100 -> 100000000437046100 -> 100000004070318100,29511.0,721570.0
6,100000004070318100 -> 100000008346837100 -> 100000004351795100 -> 100000000437046100 -> 100000008686313100 -> 100000006866783100 -> 100000004070318100,29511.0,1849378.0
4,100000004070318100 -> 100000006866783100 -> 100000008686313100 -> 100000000437046100 -> 100000004070318100,29200.0,429381.0
2,100000008686313100 -> 100000000437046100 -> 100000008686313100,29200.0,1134183.0
6,100000004070318100 -> 100000006866783100 -> 100000004390333100 -> 100000008603629100 -> 100000008686313100 -> 100000000437046100 -> 100000004070318100,29200.0,385644.0
6,100000004070318100 -> 100000008346837100 -> 100000004351795100 -> 100000008603629100 -> 100000008686313100 -> 100000000437046100 -> 100000004070318100,29200.0,361463.0
4,100000008686313100 -> 100000000437046100 -> 100000001279272100 -> 100000000331309100 -> 100000008686313100,29200.0,782242.0
6,100000004070318100 -> 100000008346837100 -> 100000005910114100 -> 100000008603629100 -> 100000008686313100 -> 100000000437046100 -> 100000004070318100,29200.0,579585.0
6,100000004070318100 -> 100000008346837100 -> 100000005910114100 -> 100000006866783100 -> 100000008686313100 -> 100000000437046100 -> 100000004070318100,29200.0,738161.0
6,100000004070318100 -> 100000006866783100 -> 100000004403675100 -> 100000000331309100 -> 100000008686313100 -> 100000000437046100 -> 100000004070318100,29200.0,683864.0
5,100000004070318100 -> 100000006866783100 -> 100000008137435100 -> 100000008686313100 -> 100000000437046100 -> 100000004070318100,29200.0,299506.0
6,100000004070318100 -> 100000006866783100 -> 100000004351795100 -> 100000008603629100 -> 100000008686313100 -> 100000000437046100 -> 100000004070318100,29200.0,423297.0
2,100000004160650100 -> 100000003616818100 -> 100000004160650100,28000.0,63100.0
2,100000000437046100 -> 100000007639767100 -> 100000000437046100,27868.0,77868.0
6,100000008603629100 -> 100000002723538100 -> 100000003242289100 -> 100000008304139100 -> 100000000437046100 -> 100000007639767100 -> 100000008603629100,27868.0,353335.0
4,100000008686313100 -> 100000000437046100 -> 100000007639767100 -> 100000008603629100 -> 100000008686313100,27868.0,231011.0
6,100000008686313100 -> 100000006866783100 -> 100000004351795100 -> 100000000437046100 -> 100000007639767100 -> 100000008603629100 -> 100000008686313100,27868.0,858315.0
6,100000008686313100 -> 100000006866783100 -> 100000004390333100 -> 100000000437046100 -> 100000007639767100 -> 100000008603629100 -> 100000008686313100,27868.0,395662.0
2,100000008603629100 -> 100000001857829100 -> 100000008603629100,26000.0,434000.0
6,100000008512552100 -> 100000003178549100 -> 100000001857829100 -> 100000008603629100 -> 100000002723538100 -> 100000003242289100 -> 100000008512552100,26000.0,447647.0
3,100000008603629100 -> 100000003178549100 -> 100000001857829100 -> 100000008603629100,26000.0,125000.0
5,100000008603629100 -> 100000002723538100 -> 100000003242289100 -> 100000008304139100 -> 100000001857829100 -> 100000008603629100,26000.0,275217.0
4,100000008686313100 -> 100000008477350100 -> 100000005910114100 -> 100000006866783100 -> 100000008686313100,25800.0,633660.0
6,100000008686313100 -> 100000008477350100 -> 100000005910114100 -> 100000006866783100 -> 100000004403675100 -> 100000000331309100 -> 100000008686313100,25800.0,888143.0
6,100000008686313100 -> 100000008477350100 -> 100000005910114100 -> 100000006866783100 -> 100000004390333100 -> 100000000437046100 -> 100000008686313100,25800.0,1659213.0
6,100000008686313100 -> 100000008477350100 -> 100000005910114100 -> 100000006866783100 -> 100000004390333100 -> 100000008603629100 -> 100000008686313100,25800.0,589923.0
5,100000008686313100 -> 100000008477350100 -> 100000005910114100 -> 100000006866783100 -> 100000008137435100 -> 100000008686313100,25800.0,503785.0
6,100000008686313100 -> 100000008477350100 -> 100000005910114100 -> 100000008111003100 -> 100000003796063100 -> 100000006866783100 -> 100000008686313100,25800.0,550464.0
6,100000008686313100 -> 100000008477350100 -> 100000005910114100 -> 100000006866783100 -> 100000004351795100 -> 100000008603629100 -> 100000008686313100,25800.0,627576.0
6,100000008686313100 -> 100000008477350100 -> 100000005910114100 -> 100000006866783100 -> 100000004351795100 -> 100000000437046100 -> 100000008686313100,25800.0,2121866.0
4,100000008686313100 -> 100000008477350100 -> 100000003968044100 -> 100000008603629100 -> 100000008686313100,25800.0,237493.0
4,100000008686313100 -> 100000008477350100 -> 100000005910114100 -> 100000008603629100 -> 100000008686313100,25800.0,475084.0
6,100000004070318100 -> 100000006866783100 -> 100000008686313100 -> 100000008477350100 -> 100000008086440100 -> 100000000437046100 -> 100000004070318100,25800.0,667214.0
4,100000008686313100 -> 100000008477350100 -> 100000008086440100 -> 100000000437046100 -> 100000008686313100,25800.0,1372016.0
6,100000008686313100 -> 100000008477350100 -> 100000005910114100 -> 100000008111003100 -> 100000003796063100 -> 100000000331309100 -> 100000008686313100,25800.0,864025.0
5,100000008686313100 -> 100000008477350100 -> 100000005910114100 -> 100000002957787100 -> 100000008137435100 -> 100000008686313100,25800.0,314023.0
5,100000008686313100 -> 100000008477350100 -> 100000005910114100 -> 100000001857829100 -> 100000008603629100 -> 100000008686313100,25800.0,317495.0
6,100000008686313100 -> 100000008477350100 -> 100000008086440100 -> 100000000437046100 -> 100000001279272100 -> 100000000331309100 -> 100000008686313100,25800.0,1020075.0
6,100000008686313100 -> 100000008477350100 -> 100000005910114100 -> 100000001857829100 -> 100000003880331100 -> 100000000331309100 -> 100000008686313100,25800.0,1008844.0
6,100000008686313100 -> 100000008477350100 -> 100000008086440100 -> 100000000437046100 -> 100000007639767100 -> 100000008603629100 -> 100000008686313100,25800.0,468844.0
6,100000008686313100 -> 100000008477350100 -> 100000005910114100 -> 100000001857829100 -> 100000003880331100 -> 100000008603629100 -> 100000008686313100,25800.0,989495.0
4,100000008686313100 -> 100000008477350100 -> 100000008086440100 -> 100000008603629100 -> 100000008686313100,25800.0,365126.0
2,100000004847758100 -> 100000008603629100 -> 100000004847758100,25612.0,67612.0
4,100000004070318100 -> 100000008477350100 -> 100000005910114100 -> 100000006866783100 -> 100000004070318100,25000.0,472404.0
6,100000004070318100 -> 100000008477350100 -> 100000005910114100 -> 100000008111003100 -> 100000003796063100 -> 100000006866783100 -> 100000004070318100,25000.0,389208.0
6,100000004070318100 -> 100000008477350100 -> 100000005910114100 -> 100000008603629100 -> 100000008686313100 -> 100000000437046100 -> 100000004070318100,25000.0,593484.0
6,100000004070318100 -> 100000008477350100 -> 100000005910114100 -> 100000008603629100 -> 100000008686313100 -> 100000006866783100 -> 100000004070318100,25000.0,587109.0
2,100000002733905100 -> 100000001166289100 -> 100000002733905100,25000.0,507839.0
6,100000004070318100 -> 100000008477350100 -> 100000003968044100 -> 100000008603629100 -> 100000008686313100 -> 100000006866783100 -> 100000004070318100,25000.0,349518.0
6,100000004070318100 -> 100000008477350100 -> 100000005910114100 -> 100000006866783100 -> 100000004390333100 -> 100000000437046100 -> 100000004070318100,25000.0,643430.0
6,100000004070318100 -> 100000008477350100 -> 100000003968044100 -> 100000008603629100 -> 100000008686313100 -> 100000000437046100 -> 100000004070318100,25000.0,355893.0
6,100000004070318100 -> 100000008477350100 -> 100000008086440100 -> 100000008603629100 -> 100000008686313100 -> 100000006866783100 -> 100000004070318100,25000.0,477151.0
6,100000004070318100 -> 100000008477350100 -> 100000005910114100 -> 100000006866783100 -> 100000004351795100 -> 100000000437046100 -> 100000004070318100,25000.0,1106083.0
6,100000004070318100 -> 100000008477350100 -> 100000005910114100 -> 100000006866783100 -> 100000008686313100 -> 100000000437046100 -> 100000004070318100,25000.0,752060.0
2,100000001697501100 -> 100000002527114100 -> 100000001697501100,25000.0,115000.0
6,100000004070318100 -> 100000008477350100 -> 100000008086440100 -> 100000008603629100 -> 100000008686313100 -> 100000000437046100 -> 100000004070318100,25000.0,483526.0
2,100000001697501100 -> 100000006612238100 -> 100000001697501100,25000.0,185000.0
6,100000004070318100 -> 100000008477350100 -> 100000008086440100 -> 100000000437046100 -> 100000008686313100 -> 100000006866783100 -> 100000004070318100,25000.0,1484041.0
4,100000004070318100 -> 100000008477350100 -> 100000008086440100 -> 100000000437046100 -> 100000004070318100,25000.0,356233.0
6,100000008686313100 -> 100000006866783100 -> 100000004351795100 -> 100000003242289100 -> 100000004140487100 -> 100000004400305100 -> 100000008686313100,24510.0,300431.0
6,100000004351795100 -> 100000003242289100 -> 100000004140487100 -> 100000004400305100 -> 100000008304139100 -> 100000006866783100 -> 100000004351795100,24510.0,360015.0
6,100000008603629100 -> 100000002723538100 -> 100000003242289100 -> 100000004140487100 -> 100000004400305100 -> 100000008304139100 -> 100000008603629100,24510.0,363258.0
6,100000008603629100 -> 100000002723538100 -> 100000003242289100 -> 100000004140487100 -> 100000004400305100 -> 100000005910114100 -> 100000008603629100,24510.0,483949.0
6,100000008686313100 -> 100000008603629100 -> 100000002723538100 -> 100000003242289100 -> 100000004140487100 -> 100000004400305100 -> 100000008686313100,24510.0,296074.0
6,100000008587459100 -> 100000006866783100 -> 100000004351795100 -> 100000003242289100 -> 100000004140487100 -> 100000004400305100 -> 100000008587459100,24510.0,397921.0
6,100000004847758100 -> 100000008603629100 -> 100000002723538100 -> 100000003242289100 -> 100000004140487100 -> 100000004400305100 -> 100000004847758100,24510.0,247224.0
6,100000004351795100 -> 100000003242289100 -> 100000004140487100 -> 100000004400305100 -> 100000005910114100 -> 100000006866783100 -> 100000004351795100,24510.0,504794.0
6,100000008603629100 -> 100000001660397100 -> 100000006866783100 -> 100000004390333100 -> 100000008477350100 -> 100000005910114100 -> 100000008603629100,24000.0,512642.0
6,100000008603629100 -> 100000001660397100 -> 100000006866783100 -> 100000002306369100 -> 100000008477350100 -> 100000005910114100 -> 100000008603629100,24000.0,535057.0
6,100000004070318100 -> 100000008477350100 -> 100000003968044100 -> 100000008603629100 -> 100000001660397100 -> 100000006866783100 -> 100000004070318100,24000.0,279025.0
6,100000008603629100 -> 100000001660397100 -> 100000006866783100 -> 100000004390333100 -> 100000000437046100 -> 100000007639767100 -> 100000008603629100,24000.0,325169.0
4,100000008603629100 -> 100000001660397100 -> 100000006866783100 -> 100000004390333100 -> 100000008603629100,24000.0,159051.0
6,100000008603629100 -> 100000001660397100 -> 100000006866783100 -> 100000002306369100 -> 100000008477350100 -> 100000003968044100 -> 100000008603629100,24000.0,297466.0
6,100000008603629100 -> 100000001660397100 -> 100000006866783100 -> 100000004390333100 -> 100000008477350100 -> 100000003968044100 -> 100000008603629100,24000.0,275051.0
6,100000004351795100 -> 100000000437046100 -> 100000007639767100 -> 100000008603629100 -> 100000001660397100 -> 100000006866783100 -> 100000004351795100,24000.0,787822.0
