gid,knowledge_state,hop_from_seed,inbound_known,outbound_known,confidence,limitation
100000000572276100,fully_observed,3,True,True,0.7,"Both directions observed, but 100% of what is reachable downstream ends at the crawl boundary, so the onward path is unknown."
100000000580561100,outbound_only,0,True,True,0.6,"Seed account: money out was followed, money in was not, so its funding is outside the dataset (2 payers appear only as return traffic from inside the crawl)."
100000000581662100,truncated_at_depth,4,True,False,0.3,"At the four-hop crawl boundary: 21,160 KZT arrived from 1 payer and where it went next was never collected."
100000000581682100,truncated_at_depth,4,True,False,0.3,"At the four-hop crawl boundary: 5,000 KZT arrived from 1 payer and where it went next was never collected."
100000000583220100,fully_observed,3,True,True,0.74,"Both directions observed, but 100% of what is reachable downstream ends at the crawl boundary, so the onward path is unknown."
100000000594783100,fully_observed,3,True,True,0.94,Both directions observed within the crawl; a payer outside the crawled set would still not appear in this dataset.
100000000596954100,fully_observed,2,True,True,0.96,Both directions observed within the crawl; a payer outside the crawled set would still not appear in this dataset.
100000000600707100,truncated_at_depth,4,True,False,0.34,"At the four-hop crawl boundary: 89,000 KZT arrived from 1 payer and where it went next was never collected."
100000000607731100,fully_observed,1,True,True,0.94,Both directions observed within the crawl; a payer outside the crawled set would still not appear in this dataset.
100000000607941100,fully_observed,2,True,True,0.827,"Both directions observed, but 67% of what is reachable downstream ends at the crawl boundary, so the onward path is unknown."
100000000608031100,truncated_at_depth,4,True,False,0.3,"At the four-hop crawl boundary: 30,000 KZT arrived from 1 payer and where it went next was never collected."
100000000611474100,inbound_only,3,True,True,0.85,"32,000 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000000625169100,inbound_only,2,True,True,0.85,"10,000 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000000627521100,truncated_at_depth,4,True,False,0.3,"At the four-hop crawl boundary: 6,500 KZT arrived from 1 payer and where it went next was never collected."
100000000629812100,inbound_only,2,True,True,0.85,"22,000 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000000634341100,truncated_at_depth,4,True,False,0.34,"At the four-hop crawl boundary: 24,000 KZT arrived from 1 payer and where it went next was never collected."
100000000640800100,fully_observed,3,True,True,0.869,"Both directions observed, but 35% of what is reachable downstream ends at the crawl boundary, so the onward path is unknown."
100000000646541100,inbound_only,2,True,True,0.85,"25,300 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000000655469100,truncated_at_depth,4,True,False,0.34,"At the four-hop crawl boundary: 20,000 KZT arrived from 1 payer and where it went next was never collected."
100000000656682100,fully_observed,3,True,True,0.74,"Both directions observed, but 100% of what is reachable downstream ends at the crawl boundary, so the onward path is unknown."
100000000661131100,inbound_only,3,True,True,0.85,"15,600 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000000661912100,fully_observed,1,True,True,0.931,"Both directions observed, but 25% of what is reachable downstream ends at the crawl boundary, so the onward path is unknown."
100000000667713100,fully_observed,1,True,True,0.931,"Both directions observed, but 25% of what is reachable downstream ends at the crawl boundary, so the onward path is unknown."
100000000673868100,fully_observed,3,True,True,0.909,"Both directions observed, but 15% of what is reachable downstream ends at the crawl boundary, so the onward path is unknown."
100000000673915100,truncated_at_depth,4,True,False,0.3,"At the four-hop crawl boundary: 20,200 KZT arrived from 1 payer and where it went next was never collected."
100000000703894100,fully_observed,1,True,True,0.94,Both directions observed within the crawl; a payer outside the crawled set would still not appear in this dataset.
100000000703902100,inbound_only,1,True,True,0.85,"25,499 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000000704700100,truncated_at_depth,4,True,False,0.3,"At the four-hop crawl boundary: 10,000 KZT arrived from 1 payer and where it went next was never collected."
100000000706545100,fully_observed,1,True,True,0.98,Both directions observed within the crawl; a payer outside the crawled set would still not appear in this dataset.
100000000718427100,inbound_only,2,True,True,0.85,"6,000 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000000723383100,fully_observed,2,True,True,0.803,"Both directions observed, but 79% of what is reachable downstream ends at the crawl boundary, so the onward path is unknown."
100000000724540100,fully_observed,2,True,True,0.92,Both directions observed within the crawl; a payer outside the crawled set would still not appear in this dataset.
100000000733373100,inbound_only,2,True,True,0.85,"10,710 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000000733451100,fully_observed,3,True,True,0.74,"Both directions observed, but 100% of what is reachable downstream ends at the crawl boundary, so the onward path is unknown."
100000000733940100,truncated_at_depth,4,True,False,0.34,"At the four-hop crawl boundary: 752,000 KZT arrived from 1 payer and where it went next was never collected."
100000000737152100,truncated_at_depth,4,True,False,0.3,"At the four-hop crawl boundary: 35,000 KZT arrived from 1 payer and where it went next was never collected."
100000000749118100,fully_observed,3,True,True,0.7,"Both directions observed, but 100% of what is reachable downstream ends at the crawl boundary, so the onward path is unknown."
100000000764836100,fully_observed,3,True,True,0.74,"Both directions observed, but 100% of what is reachable downstream ends at the crawl boundary, so the onward path is unknown."
100000000765628100,inbound_only,2,True,True,0.85,"5,000 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000000769919100,inbound_only,2,True,True,0.85,"250,000 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000000782285100,inbound_only,3,True,True,0.85,"6,151 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000000783406100,inbound_only,3,True,True,0.85,"6,066 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000000785800100,fully_observed,2,True,True,0.92,Both directions observed within the crawl; a payer outside the crawled set would still not appear in this dataset.
100000000790311100,inbound_only,2,True,True,0.85,"46,300 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000000791285100,fully_observed,3,True,True,0.854,"Both directions observed, but 43% of what is reachable downstream ends at the crawl boundary, so the onward path is unknown."
100000000795033100,inbound_only,2,True,True,0.85,"18,200 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000000795129100,inbound_only,2,True,True,0.85,"332,000 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000000795374100,inbound_only,3,True,True,0.85,"50,000 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000000802149100,inbound_only,3,True,True,0.85,"104,128 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000000803368100,truncated_at_depth,4,True,False,0.3,"At the four-hop crawl boundary: 139,503 KZT arrived from 1 payer and where it went next was never collected."
100000000806727100,fully_observed,2,True,True,0.92,Both directions observed within the crawl; a payer outside the crawled set would still not appear in this dataset.
100000000810551100,fully_observed,1,True,True,0.94,Both directions observed within the crawl; a payer outside the crawled set would still not appear in this dataset.
100000000817146100,inbound_only,1,True,True,0.85,"70,020 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000000821507100,inbound_only,2,True,True,0.85,"400,000 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000000831684100,fully_observed,2,True,True,0.96,Both directions observed within the crawl; a payer outside the crawled set would still not appear in this dataset.
100000000838385100,fully_observed,3,True,True,0.84,"Both directions observed, but 50% of what is reachable downstream ends at the crawl boundary, so the onward path is unknown."
100000000850297100,fully_observed,2,True,True,0.869,"Both directions observed, but 26% of what is reachable downstream ends at the crawl boundary, so the onward path is unknown."
100000000860514100,fully_observed,3,True,True,0.7,"Both directions observed, but 100% of what is reachable downstream ends at the crawl boundary, so the onward path is unknown."
100000000861294100,inbound_only,2,True,True,0.85,"150,000 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000000870121100,inbound_only,3,True,True,0.85,"12,000 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000000878006100,inbound_only,3,True,True,0.85,"47,003 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000000896111100,inbound_only,3,True,True,0.85,"287,100 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000000907277100,inbound_only,1,True,True,0.85,"17,534 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000000910216100,fully_observed,2,True,True,0.918,"Both directions observed, but 21% of what is reachable downstream ends at the crawl boundary, so the onward path is unknown."
100000000912487100,inbound_only,2,True,True,0.85,"10,000 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000000913911100,fully_observed,2,True,True,0.96,Both directions observed within the crawl; a payer outside the crawled set would still not appear in this dataset.
100000000917179100,inbound_only,2,True,True,0.85,"94,465 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000000922570100,fully_observed,1,True,True,0.94,Both directions observed within the crawl; a payer outside the crawled set would still not appear in this dataset.
100000000926078100,truncated_at_depth,4,True,False,0.3,"At the four-hop crawl boundary: 250,000 KZT arrived from 1 payer and where it went next was never collected."
100000000926766100,fully_observed,3,True,True,0.814,"Both directions observed, but 43% of what is reachable downstream ends at the crawl boundary, so the onward path is unknown."
100000000933075100,fully_observed,3,True,True,0.907,"Both directions observed, but 17% of what is reachable downstream ends at the crawl boundary, so the onward path is unknown."
100000000941942100,inbound_only,1,True,True,0.85,"130,000 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000000942301100,inbound_only,3,True,True,0.85,"57,580 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000000943371100,inbound_only,2,True,True,0.85,"15,500 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000000945428100,inbound_only,1,True,True,0.85,"89,629 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000000954884100,inbound_only,3,True,True,0.85,"34,000 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000000955444100,inbound_only,2,True,True,0.85,"6,910 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000000955529100,fully_observed,3,True,True,0.9,Both directions observed within the crawl; a payer outside the crawled set would still not appear in this dataset.
100000000957746100,truncated_at_depth,4,True,False,0.3,"At the four-hop crawl boundary: 5,300 KZT arrived from 1 payer and where it went next was never collected."
100000000961900100,inbound_only,1,True,True,0.85,"36,000 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000000967918100,inbound_only,2,True,True,0.85,"21,200 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000000968253100,inbound_only,1,True,True,0.85,"15,000 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000000971908100,inbound_only,2,True,True,0.85,"89,000 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000000976943100,fully_observed,3,True,True,0.74,"Both directions observed, but 100% of what is reachable downstream ends at the crawl boundary, so the onward path is unknown."
100000000978041100,inbound_only,1,True,True,0.85,"44,445 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000000979567100,inbound_only,2,True,True,0.85,"10,000 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000000979923100,inbound_only,1,True,True,0.85,"97,900 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000000981693100,truncated_at_depth,4,True,False,0.3,"At the four-hop crawl boundary: 16,500 KZT arrived from 1 payer and where it went next was never collected."
100000000993112100,inbound_only,2,True,True,0.85,"141,000 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000000998559100,inbound_only,1,True,True,0.85,"100,000 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000001009583100,inbound_only,3,True,True,0.85,"393,740 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000001046057100,inbound_only,3,True,True,0.85,"83,420 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000001046626100,inbound_only,3,True,True,0.85,"150,000 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000001049200100,fully_observed,1,True,True,0.931,"Both directions observed, but 25% of what is reachable downstream ends at the crawl boundary, so the onward path is unknown."
100000001052789100,inbound_only,3,True,True,0.85,"70,975 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000001052945100,fully_observed,3,True,True,0.74,"Both directions observed, but 100% of what is reachable downstream ends at the crawl boundary, so the onward path is unknown."
100000001053894100,truncated_at_depth,4,True,False,0.38,"At the four-hop crawl boundary: 2,000,000 KZT arrived from 1 payer and where it went next was never collected."
100000001056414100,inbound_only,3,True,True,0.85,"250,000 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000001063678100,fully_observed,3,True,True,0.74,"Both directions observed, but 100% of what is reachable downstream ends at the crawl boundary, so the onward path is unknown."
100000001065234100,truncated_at_depth,4,True,False,0.3,"At the four-hop crawl boundary: 360,000 KZT arrived from 1 payer and where it went next was never collected."
100000001065481100,truncated_at_depth,4,True,False,0.34,"At the four-hop crawl boundary: 16,000 KZT arrived from 1 payer and where it went next was never collected."
100000001066017100,fully_observed,3,True,True,0.74,"Both directions observed, but 100% of what is reachable downstream ends at the crawl boundary, so the onward path is unknown."
100000001072022100,inbound_only,1,True,True,0.85,"1,684,000 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000001073568100,fully_observed,3,True,True,0.807,"Both directions observed, but 67% of what is reachable downstream ends at the crawl boundary, so the onward path is unknown."
100000001074553100,inbound_only,1,True,True,0.85,"28,971 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000001083990100,inbound_only,2,True,True,0.85,"49,900 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000001089055100,truncated_at_depth,4,True,False,0.3,"At the four-hop crawl boundary: 13,000 KZT arrived from 1 payer and where it went next was never collected."
100000001102676100,fully_observed,2,True,True,0.913,"Both directions observed, but 3% of what is reachable downstream ends at the crawl boundary, so the onward path is unknown."
100000001103905100,inbound_only,1,True,True,0.85,"18,000 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000001110358100,inbound_only,3,True,True,0.85,"32,000 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000001111763100,inbound_only,1,True,True,0.85,"17,144 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000001114385100,inbound_only,2,True,True,0.85,"29,500 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000001126374100,fully_observed,1,True,True,0.98,Both directions observed within the crawl; a payer outside the crawled set would still not appear in this dataset.
100000001130176100,inbound_only,3,True,True,0.85,"25,000 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000001130553100,truncated_at_depth,4,True,False,0.34,"At the four-hop crawl boundary: 18,000 KZT arrived from 1 payer and where it went next was never collected."
100000001131403100,truncated_at_depth,4,True,False,0.38,"At the four-hop crawl boundary: 1,570,000 KZT arrived from 1 payer and where it went next was never collected."
100000001138283100,fully_observed,3,True,True,0.891,"Both directions observed, but 25% of what is reachable downstream ends at the crawl boundary, so the onward path is unknown."
100000001138376100,inbound_only,2,True,True,0.85,"15,300 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000001140785100,inbound_only,3,True,True,0.85,"215,000 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000001141268100,fully_observed,3,True,True,0.74,"Both directions observed, but 100% of what is reachable downstream ends at the crawl boundary, so the onward path is unknown."
100000001145749100,inbound_only,3,True,True,0.85,"10,000 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000001149815100,inbound_only,3,True,True,0.85,"12,000 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000001155773100,inbound_only,3,True,True,0.85,"21,500 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000001160401100,inbound_only,3,True,True,0.85,"47,190 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000001162560100,fully_observed,1,True,True,0.98,Both directions observed within the crawl; a payer outside the crawled set would still not appear in this dataset.
100000001164648100,inbound_only,1,True,True,0.85,"13,660 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000001166289100,fully_observed,2,True,True,0.96,Both directions observed within the crawl; a payer outside the crawled set would still not appear in this dataset.
100000001169666100,fully_observed,3,True,True,0.74,"Both directions observed, but 100% of what is reachable downstream ends at the crawl boundary, so the onward path is unknown."
100000001184915100,inbound_only,2,True,True,0.85,"201,000 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000001194266100,inbound_only,1,True,True,0.85,"50,000 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000001202637100,truncated_at_depth,4,True,False,0.3,"At the four-hop crawl boundary: 10,000 KZT arrived from 1 payer and where it went next was never collected."
100000001202787100,truncated_at_depth,4,True,False,0.34,"At the four-hop crawl boundary: 14,850 KZT arrived from 2 payers and where it went next was never collected."
100000001220124100,truncated_at_depth,4,True,False,0.3,"At the four-hop crawl boundary: 40,000 KZT arrived from 1 payer and where it went next was never collected."
100000001222245100,truncated_at_depth,4,True,False,0.38,"At the four-hop crawl boundary: 420,000 KZT arrived from 1 payer and where it went next was never collected."
100000001222263100,fully_observed,3,True,True,0.74,"Both directions observed, but 100% of what is reachable downstream ends at the crawl boundary, so the onward path is unknown."
100000001223977100,fully_observed,3,True,True,0.7,"Both directions observed, but 100% of what is reachable downstream ends at the crawl boundary, so the onward path is unknown."
100000001227106100,inbound_only,3,True,True,0.85,"164,765 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000001229743100,fully_observed,3,True,True,0.7,"Both directions observed, but 100% of what is reachable downstream ends at the crawl boundary, so the onward path is unknown."
100000001232297100,fully_observed,2,True,True,0.938,"Both directions observed, but 11% of what is reachable downstream ends at the crawl boundary, so the onward path is unknown."
100000001236706100,fully_observed,3,True,True,0.74,"Both directions observed, but 100% of what is reachable downstream ends at the crawl boundary, so the onward path is unknown."
100000001241318100,inbound_only,2,True,True,0.85,"53,000 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000001246806100,truncated_at_depth,4,True,False,0.3,"At the four-hop crawl boundary: 130,000 KZT arrived from 1 payer and where it went next was never collected."
100000001248999100,inbound_only,3,True,True,0.85,"23,425 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000001249054100,truncated_at_depth,4,True,False,0.3,"At the four-hop crawl boundary: 17,375 KZT arrived from 1 payer and where it went next was never collected."
100000001250022100,inbound_only,2,True,True,0.85,"50,000 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000001251686100,inbound_only,2,True,True,0.85,"18,000 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000001252290100,fully_observed,3,True,True,0.7,"Both directions observed, but 100% of what is reachable downstream ends at the crawl boundary, so the onward path is unknown."
100000001253557100,inbound_only,1,True,True,0.85,"210,200 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000001256409100,truncated_at_depth,4,True,False,0.3,"At the four-hop crawl boundary: 8,000 KZT arrived from 1 payer and where it went next was never collected."
100000001262647100,inbound_only,2,True,True,0.85,"23,650 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000001270349100,inbound_only,3,True,True,0.85,"200,000 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000001270470100,truncated_at_depth,4,True,False,0.34,"At the four-hop crawl boundary: 28,300 KZT arrived from 1 payer and where it went next was never collected."
100000001273783100,inbound_only,2,True,True,0.85,"23,200 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000001275557100,truncated_at_depth,4,True,False,0.3,"At the four-hop crawl boundary: 20,000 KZT arrived from 1 payer and where it went next was never collected."
100000001275752100,inbound_only,3,True,True,0.85,"151,500 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000001276409100,truncated_at_depth,4,True,False,0.3,"At the four-hop crawl boundary: 94,760 KZT arrived from 1 payer and where it went next was never collected."
100000001279272100,fully_observed,3,True,True,0.891,"Both directions observed, but 25% of what is reachable downstream ends at the crawl boundary, so the onward path is unknown."
100000001279875100,inbound_only,2,True,True,0.85,"49,235 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000001280798100,inbound_only,3,True,True,0.85,"23,785 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000001282143100,inbound_only,3,True,True,0.85,"1,700,000 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000001285440100,inbound_only,3,True,True,0.85,"243,000 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000001286703100,truncated_at_depth,4,True,False,0.3,"At the four-hop crawl boundary: 20,500 KZT arrived from 1 payer and where it went next was never collected."
100000001287955100,fully_observed,2,True,True,0.908,"Both directions observed, but 26% of what is reachable downstream ends at the crawl boundary, so the onward path is unknown."
100000001290243100,inbound_only,2,True,True,0.85,"10,000 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000001297206100,truncated_at_depth,4,True,False,0.3,"At the four-hop crawl boundary: 6,758 KZT arrived from 1 payer and where it went next was never collected."
100000001298099100,inbound_only,3,True,True,0.85,"19,000 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000001299323100,truncated_at_depth,4,True,False,0.3,"At the four-hop crawl boundary: 109,000 KZT arrived from 1 payer and where it went next was never collected."
100000001299443100,truncated_at_depth,4,True,False,0.3,"At the four-hop crawl boundary: 8,000 KZT arrived from 1 payer and where it went next was never collected."
100000001299828100,truncated_at_depth,4,True,False,0.3,"At the four-hop crawl boundary: 100,000 KZT arrived from 1 payer and where it went next was never collected."
100000001303311100,inbound_only,3,True,True,0.85,"1,324,000 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000001307612100,inbound_only,1,True,True,0.85,"38,483 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000001308856100,inbound_only,2,True,True,0.85,"27,000 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000001311175100,truncated_at_depth,4,True,False,0.3,"At the four-hop crawl boundary: 300,000 KZT arrived from 1 payer and where it went next was never collected."
100000001317336100,fully_observed,3,True,True,0.74,"Both directions observed, but 100% of what is reachable downstream ends at the crawl boundary, so the onward path is unknown."
100000001325618100,truncated_at_depth,4,True,False,0.3,"At the four-hop crawl boundary: 9,300 KZT arrived from 1 payer and where it went next was never collected."
100000001329153100,inbound_only,3,True,True,0.85,"150,687 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
