gid,knowledge_state,hop_from_seed,inbound_known,outbound_known,confidence,limitation
100000000011452100,fully_observed,1,True,True,0.98,Both directions observed within the crawl; a payer outside the crawled set would still not appear in this dataset.
100000000018102100,truncated_at_depth,4,True,False,0.3,"At the four-hop crawl boundary: 7,000 KZT arrived from 1 payer and where it went next was never collected."
100000000031787100,fully_observed,2,True,True,0.96,Both directions observed within the crawl; a payer outside the crawled set would still not appear in this dataset.
100000000041368100,inbound_only,1,True,True,0.85,"160,000 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000000076451100,fully_observed,2,True,True,0.92,"Both directions observed, but 20% of what is reachable downstream ends at the crawl boundary, so the onward path is unknown."
100000000089154100,fully_observed,1,True,True,0.931,"Both directions observed, but 25% of what is reachable downstream ends at the crawl boundary, so the onward path is unknown."
100000000190228100,fully_observed,2,True,True,0.92,Both directions observed within the crawl; a payer outside the crawled set would still not appear in this dataset.
100000000201868100,fully_observed,2,True,True,0.92,Both directions observed within the crawl; a payer outside the crawled set would still not appear in this dataset.
100000000254336100,fully_observed,3,True,True,0.74,"Both directions observed, but 100% of what is reachable downstream ends at the crawl boundary, so the onward path is unknown."
100000000267734100,fully_observed,1,True,True,0.98,Both directions observed within the crawl; a payer outside the crawled set would still not appear in this dataset.
100000000274067100,fully_observed,1,True,True,0.98,Both directions observed within the crawl; a payer outside the crawled set would still not appear in this dataset.
100000000287768100,inbound_only,3,True,True,0.85,"35,168 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000000288317100,fully_observed,3,True,True,0.74,"Both directions observed, but 100% of what is reachable downstream ends at the crawl boundary, so the onward path is unknown."
100000000291906100,fully_observed,2,True,True,0.86,"Both directions observed, but 50% of what is reachable downstream ends at the crawl boundary, so the onward path is unknown."
100000000291908100,fully_observed,3,True,True,0.74,"Both directions observed, but 100% of what is reachable downstream ends at the crawl boundary, so the onward path is unknown."
100000000297649100,fully_observed,2,True,True,0.927,"Both directions observed, but 17% of what is reachable downstream ends at the crawl boundary, so the onward path is unknown."
100000000299820100,truncated_at_depth,4,True,False,0.3,"At the four-hop crawl boundary: 10,000 KZT arrived from 1 payer and where it went next was never collected."
100000000307908100,inbound_only,2,True,True,0.85,"5,000 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000000331309100,fully_observed,2,True,True,0.911,"Both directions observed, but 25% of what is reachable downstream ends at the crawl boundary, so the onward path is unknown."
100000000332284100,fully_observed,2,True,True,0.86,"Both directions observed, but 50% of what is reachable downstream ends at the crawl boundary, so the onward path is unknown."
100000000343175100,outbound_only,0,True,True,0.6,"Seed account: money out was followed, money in was not, so its funding is outside the dataset (8 payers appear only as return traffic from inside the crawl)."
100000000369781100,truncated_at_depth,4,True,False,0.3,"At the four-hop crawl boundary: 5,000 KZT arrived from 1 payer and where it went next was never collected."
100000000375150100,truncated_at_depth,4,True,False,0.3,"At the four-hop crawl boundary: 300,000 KZT arrived from 1 payer and where it went next was never collected."
100000000404740100,truncated_at_depth,4,True,False,0.3,"At the four-hop crawl boundary: 25,000 KZT arrived from 1 payer and where it went next was never collected."
100000000408846100,inbound_only,3,True,True,0.85,"40,500 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000000413678100,fully_observed,3,True,True,0.74,"Both directions observed, but 100% of what is reachable downstream ends at the crawl boundary, so the onward path is unknown."
100000000424935100,truncated_at_depth,4,True,False,0.3,"At the four-hop crawl boundary: 15,000 KZT arrived from 1 payer and where it went next was never collected."
100000000425407100,inbound_only,2,True,True,0.85,"20,000 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000000437046100,fully_observed,2,True,True,0.911,"Both directions observed, but 25% of what is reachable downstream ends at the crawl boundary, so the onward path is unknown."
100000000440392100,inbound_only,1,True,True,0.85,"105,705 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000000456947100,isolated,0,False,True,0.1,"No transfer observed in either direction in the window, so nothing about this account's behaviour is measurable from this dataset."
100000000470237100,truncated_at_depth,4,True,False,0.3,"At the four-hop crawl boundary: 32,500 KZT arrived from 1 payer and where it went next was never collected."
100000000481716100,inbound_only,3,True,True,0.85,"8,000 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000000489417100,fully_observed,2,True,True,0.827,"Both directions observed, but 67% of what is reachable downstream ends at the crawl boundary, so the onward path is unknown."
100000000490383100,fully_observed,2,True,True,0.933,"Both directions observed, but 13% of what is reachable downstream ends at the crawl boundary, so the onward path is unknown."
100000000500040100,truncated_at_depth,4,True,False,0.3,"At the four-hop crawl boundary: 20,000 KZT arrived from 1 payer and where it went next was never collected."
100000000507799100,fully_observed,1,True,True,0.873,"Both directions observed, but 33% of what is reachable downstream ends at the crawl boundary, so the onward path is unknown."
100000000533217100,inbound_only,2,True,True,0.85,"53,587 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000000534581100,fully_observed,3,True,True,0.74,"Both directions observed, but 100% of what is reachable downstream ends at the crawl boundary, so the onward path is unknown."
100000000542087100,truncated_at_depth,4,True,False,0.3,"At the four-hop crawl boundary: 8,507 KZT arrived from 1 payer and where it went next was never collected."
100000000552584100,fully_observed,3,True,True,0.94,Both directions observed within the crawl; a payer outside the crawled set would still not appear in this dataset.
100000000555721100,inbound_only,1,True,True,0.85,"113,000 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000000557536100,truncated_at_depth,4,True,False,0.38,"At the four-hop crawl boundary: 153,000 KZT arrived from 1 payer and where it went next was never collected."
100000000560751100,inbound_only,3,True,True,0.85,"25,000 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
100000000561160100,truncated_at_depth,4,True,False,0.3,"At the four-hop crawl boundary: 240,000 KZT arrived from 1 payer and where it went next was never collected."
100000000569479100,inbound_only,3,True,True,0.85,"320,000 KZT arrived and none was observed leaving; any payer outside the crawled set would not appear."
