formation_id,kind,n_members,n_seeds,min_hop_from_seed,kzt_through,kzt_retained_share,breaking_point_gid,breaking_point_method,breaking_point_effect,score,rank,hypothesis,evidence
LOOP-127,reciprocal_loop,2,2,0,4190461.0,0.636,100000001732159100,flow,2664990.0,0.6061,11,"These 2 accounts return funds to each other, 4,190,461 KZT touching the set with 64% of it never leaving, which is worth checking against what each leg was said to be for.","reciprocal_loop: n=2, seeds=2, hop=0, through=4,190,461 KZT, retained=0.64; break 100000001732159100 by flow stops 2,664,990 of 2,664,990 KZT internal; fragility=1.00, score=0.6061"
FUN-007,funnel,4,2,0,284000.0,0.5458,100000008516839100,articulation,3.0,0.6006,12,"The figures suggest 3 accounts sending a dominant share of their outflow into 100000008516839100, 284,000 KZT touching the set with 55% of it staying inside, which is worth checking as one collection point rather than 3 unrelated payers.","funnel: n=4, seeds=2, hop=0, through=284,000 KZT, retained=0.55; break 100000008516839100 by articulation cuts 3 of 3 members; fragility=1.00, score=0.6006"
FAN-004,fan_out,23,1,0,6574458.0,0.4113,100000000343175100,articulation,22.0,0.5946,13,"One account spreads 6,574,458 KZT across 22 receivers, every one of them observed to the end with no onward transfer in the window, 41% of the money staying inside the set, which is worth checking as a dispersal point before the receivers are treated separately.","fan_out: n=23, seeds=1, hop=0, through=6,574,458 KZT, retained=0.41; receivers=22 observed/0 at crawl boundary; break 100000000343175100 by articulation cuts 22 of 22 members; fragility=1.00, score=0.5946"
CHN-005,chain,5,1,0,10144062.0,0.0081,100000000507799100,dominator,3.0,0.5926,14,"Funds appear to move through 5 accounts in sequence starting 0 hop(s) from a known client, 10,144,062 KZT touching the run and 1% of it staying inside, which is consistent with a transit route and worth checking step by step.","chain: n=5, seeds=1, hop=0, through=10,144,062 KZT, retained=0.01; break 100000000507799100 by dominator cuts 3 of 4 members; fragility=0.75, score=0.5926"
FAN-042,fan_out,18,1,0,6072519.4,0.4685,100000007747786100,articulation,17.0,0.5916,15,"One account spreads 6,072,519 KZT across 17 receivers, every one of them observed to the end with no onward transfer in the window, 47% of the money staying inside the set, which is worth checking as a dispersal point before the receivers are treated separately.","fan_out: n=18, seeds=1, hop=0, through=6,072,519 KZT, retained=0.47; receivers=17 observed/0 at crawl boundary; break 100000007747786100 by articulation cuts 17 of 17 members; fragility=1.00, score=0.5916"
LOOP-007,reciprocal_loop,4,1,0,14710825.0,0.1,100000008686313100,flow,1407464.0,0.5916,16,"These 4 accounts return funds to each other, 14,710,825 KZT touching the set with 10% of it never leaving, which is worth checking against what each leg was said to be for.","reciprocal_loop: n=4, seeds=1, hop=0, through=14,710,825 KZT, retained=0.10; break 100000008686313100 by flow stops 1,407,464 of 1,471,464 KZT internal; fragility=0.96, score=0.5916"
LOOP-015,reciprocal_loop,4,1,0,30714109.0,0.0245,100000008686313100,flow,646323.0,0.5915,17,"These 4 accounts return funds to each other, 30,714,109 KZT touching the set with 2% of it never leaving, which is worth checking against what each leg was said to be for.","reciprocal_loop: n=4, seeds=1, hop=0, through=30,714,109 KZT, retained=0.02; break 100000008686313100 by flow stops 646,323 of 752,945 KZT internal; fragility=0.86, score=0.5915"
CHN-027,chain,4,1,0,8039540.0,0.3426,100000003835149100,dominator,2.0,0.5906,18,"Funds appear to move through 4 accounts in sequence starting 0 hop(s) from a known client, 8,039,540 KZT touching the run and 34% of it staying inside, which is consistent with a transit route and worth checking step by step.","chain: n=4, seeds=1, hop=0, through=8,039,540 KZT, retained=0.34; break 100000003835149100 by dominator cuts 2 of 3 members; fragility=0.67, score=0.5906"
BRG-043,bridge,150,1,0,5712394.0,0.9661,100000001697501100,articulation,149.0,0.5877,19,"These 149 accounts reach the rest of their community only through 100000001697501100, whose removal would detach 149 of them from 5,712,394 KZT of observed flow, which is worth checking as a shared route rather than a coincidence of the crawl.","bridge: n=150, seeds=1, hop=0, through=5,712,394 KZT, retained=0.97; break 100000001697501100 by articulation cuts 149 of 149 members; fragility=1.00, score=0.5877"
LOOP-042,reciprocal_loop,4,1,0,15141596.0,0.1003,100000008686313100,flow,1407464.0,0.5865,20,"These 4 accounts return funds to each other, 15,141,596 KZT touching the set with 10% of it never leaving, which is worth checking against what each leg was said to be for.","reciprocal_loop: n=4, seeds=1, hop=0, through=15,141,596 KZT, retained=0.10; break 100000008686313100 by flow stops 1,407,464 of 1,518,350 KZT internal; fragility=0.93, score=0.5865"
FAN-007,fan_out,28,1,0,7141431.94,0.2133,100000006866783100,articulation,27.0,0.5855,21,"One account spreads 7,141,432 KZT across 27 receivers, every one of them observed to the end with no onward transfer in the window, 21% of the money staying inside the set, which is worth checking as a dispersal point before the receivers are treated separately.","fan_out: n=28, seeds=1, hop=0, through=7,141,432 KZT, retained=0.21; receivers=27 observed/0 at crawl boundary; break 100000006866783100 by articulation cuts 27 of 27 members; fragility=1.00, score=0.5855"
BRG-056,bridge,35,3,0,5343423.28,0.8853,100000004156082100,articulation,34.0,0.5824,22,"These 34 accounts reach the rest of their community only through 100000004156082100, whose removal would detach 34 of them from 5,343,423 KZT of observed flow, which is worth checking as a shared route rather than a coincidence of the crawl.","bridge: n=35, seeds=3, hop=0, through=5,343,423 KZT, retained=0.89; break 100000004156082100 by articulation cuts 34 of 34 members; fragility=1.00, score=0.5824"
FAN-003,fan_out,57,0,1,26454600.75,0.3772,100000000331309100,articulation,56.0,0.5821,23,"One account spreads 26,454,601 KZT across 56 receivers, every one of them observed to the end with no onward transfer in the window, 38% of the money staying inside the set, which is worth checking as a dispersal point before the receivers are treated separately.","fan_out: n=57, seeds=0, hop=1, through=26,454,601 KZT, retained=0.38; receivers=56 observed/0 at crawl boundary; break 100000000331309100 by articulation cuts 56 of 56 members; fragility=1.00, score=0.5821"
LOOP-066,reciprocal_loop,3,1,0,1404980.0,0.9856,100000001872484100,flow,1365800.0,0.582,24,"These 3 accounts return funds to each other, 1,404,980 KZT touching the set with 99% of it never leaving, which is worth checking against what each leg was said to be for.","reciprocal_loop: n=3, seeds=1, hop=0, through=1,404,980 KZT, retained=0.99; break 100000001872484100 by flow stops 1,365,800 of 1,384,800 KZT internal; fragility=0.99, score=0.5820"
CHN-010,chain,4,1,0,1404980.0,1.0,100000008601794100,dominator,2.0,0.5813,25,"Funds appear to move through 4 accounts in sequence starting 0 hop(s) from a known client, 1,404,980 KZT touching the run and 100% of it staying inside, which is consistent with a transit route and worth checking step by step.","chain: n=4, seeds=1, hop=0, through=1,404,980 KZT, retained=1.00; break 100000008601794100 by dominator cuts 2 of 3 members; fragility=0.67, score=0.5813"
CHN-039,chain,4,1,0,12901841.0,0.0355,100000003946524100,dominator,2.0,0.5809,26,"Funds appear to move through 4 accounts in sequence starting 0 hop(s) from a known client, 12,901,841 KZT touching the run and 4% of it staying inside, which is consistent with a transit route and worth checking step by step.","chain: n=4, seeds=1, hop=0, through=12,901,841 KZT, retained=0.04; break 100000003946524100 by dominator cuts 2 of 3 members; fragility=0.67, score=0.5809"
LOOP-075,reciprocal_loop,4,1,0,13032894.11,0.0462,100000005287097100,flow,570173.0,0.5806,27,"These 4 accounts return funds to each other, 13,032,894 KZT touching the set with 5% of it never leaving, which is worth checking against what each leg was said to be for.","reciprocal_loop: n=4, seeds=1, hop=0, through=13,032,894 KZT, retained=0.05; break 100000005287097100 by flow stops 570,173 of 602,187 KZT internal; fragility=0.95, score=0.5806"
CHN-033,chain,4,1,0,2809200.0,0.6796,100000004135268100,dominator,2.0,0.5794,28,"Funds appear to move through 4 accounts in sequence starting 0 hop(s) from a known client, 2,809,200 KZT touching the run and 68% of it staying inside, which is consistent with a transit route and worth checking step by step.","chain: n=4, seeds=1, hop=0, through=2,809,200 KZT, retained=0.68; break 100000004135268100 by dominator cuts 2 of 3 members; fragility=0.67, score=0.5794"
LOOP-195,reciprocal_loop,4,1,0,12834330.11,0.0207,100000003016635100,flow,251666.0,0.5782,29,"These 4 accounts return funds to each other, 12,834,330 KZT touching the set with 2% of it never leaving, which is worth checking against what each leg was said to be for.","reciprocal_loop: n=4, seeds=1, hop=0, through=12,834,330 KZT, retained=0.02; break 100000003016635100 by flow stops 251,666 of 265,266 KZT internal; fragility=0.95, score=0.5782"
LOOP-043,reciprocal_loop,4,1,0,16024084.75,0.1002,100000008686313100,flow,1407464.0,0.5779,30,"These 4 accounts return funds to each other, 16,024,085 KZT touching the set with 10% of it never leaving, which is worth checking against what each leg was said to be for.","reciprocal_loop: n=4, seeds=1, hop=0, through=16,024,085 KZT, retained=0.10; break 100000008686313100 by flow stops 1,407,464 of 1,605,031 KZT internal; fragility=0.88, score=0.5779"
LOOP-214,reciprocal_loop,2,1,0,12437091.0,0.0322,100000003299365100,flow,400000.0,0.5779,31,"These 2 accounts return funds to each other, 12,437,091 KZT touching the set with 3% of it never leaving, which is worth checking against what each leg was said to be for.","reciprocal_loop: n=2, seeds=1, hop=0, through=12,437,091 KZT, retained=0.03; break 100000003299365100 by flow stops 400,000 of 400,000 KZT internal; fragility=1.00, score=0.5779"
LOOP-135,reciprocal_loop,2,1,0,1404980.0,0.9586,100000001872484100,flow,1346800.0,0.5763,32,"These 2 accounts return funds to each other, 1,404,980 KZT touching the set with 96% of it never leaving, which is worth checking against what each leg was said to be for.","reciprocal_loop: n=2, seeds=1, hop=0, through=1,404,980 KZT, retained=0.96; break 100000001872484100 by flow stops 1,346,800 of 1,346,800 KZT internal; fragility=1.00, score=0.5763"
LOOP-038,reciprocal_loop,4,1,0,14704632.0,0.1097,100000008686313100,flow,1407464.0,0.5746,33,"These 4 accounts return funds to each other, 14,704,632 KZT touching the set with 11% of it never leaving, which is worth checking against what each leg was said to be for.","reciprocal_loop: n=4, seeds=1, hop=0, through=14,704,632 KZT, retained=0.11; break 100000008686313100 by flow stops 1,407,464 of 1,613,215 KZT internal; fragility=0.87, score=0.5746"
BRG-004,bridge,45,1,0,10830644.42,0.7984,100000007747786100,articulation,44.0,0.5741,34,"These 44 accounts reach the rest of their community only through 100000007747786100, whose removal would detach 44 of them from 10,830,644 KZT of observed flow, which is worth checking as a shared route rather than a coincidence of the crawl.","bridge: n=45, seeds=1, hop=0, through=10,830,644 KZT, retained=0.80; break 100000007747786100 by articulation cuts 44 of 44 members; fragility=1.00, score=0.5741"
LOOP-200,reciprocal_loop,2,1,0,11738262.0,0.0106,100000003016635100,flow,124530.0,0.5739,35,"These 2 accounts return funds to each other, 11,738,262 KZT touching the set with 1% of it never leaving, which is worth checking against what each leg was said to be for.","reciprocal_loop: n=2, seeds=1, hop=0, through=11,738,262 KZT, retained=0.01; break 100000003016635100 by flow stops 124,530 of 124,530 KZT internal; fragility=1.00, score=0.5739"
LOOP-199,reciprocal_loop,2,1,0,10322312.0,0.0488,100000003016635100,flow,503223.0,0.5724,36,"These 2 accounts return funds to each other, 10,322,312 KZT touching the set with 5% of it never leaving, which is worth checking against what each leg was said to be for.","reciprocal_loop: n=2, seeds=1, hop=0, through=10,322,312 KZT, retained=0.05; break 100000003016635100 by flow stops 503,223 of 503,223 KZT internal; fragility=1.00, score=0.5724"
LOOP-196,reciprocal_loop,4,1,0,12972784.11,0.0562,100000003016635100,flow,657627.0,0.5716,37,"These 4 accounts return funds to each other, 12,972,784 KZT touching the set with 6% of it never leaving, which is worth checking against what each leg was said to be for.","reciprocal_loop: n=4, seeds=1, hop=0, through=12,972,784 KZT, retained=0.06; break 100000003016635100 by flow stops 657,627 of 729,577 KZT internal; fragility=0.90, score=0.5716"
LOOP-026,reciprocal_loop,4,1,0,14858706.55,0.1109,100000008686313100,flow,1407464.0,0.5713,38,"These 4 accounts return funds to each other, 14,858,707 KZT touching the set with 11% of it never leaving, which is worth checking against what each leg was said to be for.","reciprocal_loop: n=4, seeds=1, hop=0, through=14,858,707 KZT, retained=0.11; break 100000008686313100 by flow stops 1,407,464 of 1,647,189 KZT internal; fragility=0.85, score=0.5713"
LOOP-269,reciprocal_loop,3,1,0,2809200.0,0.7525,100000004135268100,flow,1914000.0,0.5705,39,"These 3 accounts return funds to each other, 2,809,200 KZT touching the set with 75% of it never leaving, which is worth checking against what each leg was said to be for.","reciprocal_loop: n=3, seeds=1, hop=0, through=2,809,200 KZT, retained=0.75; break 100000004135268100 by flow stops 1,914,000 of 2,114,000 KZT internal; fragility=0.91, score=0.5705"
LOOP-032,reciprocal_loop,4,1,0,15564415.0,0.1295,100000000437046100,flow,1676183.0,0.5697,40,"These 4 accounts return funds to each other, 15,564,415 KZT touching the set with 13% of it never leaving, which is worth checking against what each leg was said to be for.","reciprocal_loop: n=4, seeds=1, hop=0, through=15,564,415 KZT, retained=0.13; break 100000000437046100 by flow stops 1,676,183 of 2,015,868 KZT internal; fragility=0.83, score=0.5697"
CHN-031,chain,4,1,0,10184333.68,0.0163,100000005539201100,dominator,2.0,0.5693,41,"Funds appear to move through 4 accounts in sequence starting 0 hop(s) from a known client, 10,184,334 KZT touching the run and 2% of it staying inside, which is consistent with a transit route and worth checking step by step.","chain: n=4, seeds=1, hop=0, through=10,184,334 KZT, retained=0.02; break 100000005539201100 by dominator cuts 2 of 3 members; fragility=0.67, score=0.5693"
LOOP-296,reciprocal_loop,4,1,0,13600787.0,0.0293,100000008686313100,flow,355698.0,0.5691,42,"These 4 accounts return funds to each other, 13,600,787 KZT touching the set with 3% of it never leaving, which is worth checking against what each leg was said to be for.","reciprocal_loop: n=4, seeds=1, hop=0, through=13,600,787 KZT, retained=0.03; break 100000008686313100 by flow stops 355,698 of 398,716 KZT internal; fragility=0.89, score=0.5691"
LOOP-031,reciprocal_loop,4,1,0,15527634.0,0.0463,100000000437046100,flow,619868.0,0.5689,43,"These 4 accounts return funds to each other, 15,527,634 KZT touching the set with 5% of it never leaving, which is worth checking against what each leg was said to be for.","reciprocal_loop: n=4, seeds=1, hop=0, through=15,527,634 KZT, retained=0.05; break 100000000437046100 by flow stops 619,868 of 719,290 KZT internal; fragility=0.86, score=0.5689"
LOOP-198,reciprocal_loop,2,1,0,10240262.0,0.0113,100000003016635100,flow,115652.0,0.5689,44,"These 2 accounts return funds to each other, 10,240,262 KZT touching the set with 1% of it never leaving, which is worth checking against what each leg was said to be for.","reciprocal_loop: n=2, seeds=1, hop=0, through=10,240,262 KZT, retained=0.01; break 100000003016635100 by flow stops 115,652 of 115,652 KZT internal; fragility=1.00, score=0.5689"
LOOP-194,reciprocal_loop,4,1,0,13068130.11,0.0517,100000003016635100,flow,600485.0,0.5687,45,"These 4 accounts return funds to each other, 13,068,130 KZT touching the set with 5% of it never leaving, which is worth checking against what each leg was said to be for.","reciprocal_loop: n=4, seeds=1, hop=0, through=13,068,130 KZT, retained=0.05; break 100000003016635100 by flow stops 600,485 of 676,035 KZT internal; fragility=0.89, score=0.5687"
LOOP-201,reciprocal_loop,2,1,0,10026562.0,0.0154,100000003016635100,flow,154404.0,0.5685,46,"These 2 accounts return funds to each other, 10,026,562 KZT touching the set with 2% of it never leaving, which is worth checking against what each leg was said to be for.","reciprocal_loop: n=2, seeds=1, hop=0, through=10,026,562 KZT, retained=0.02; break 100000003016635100 by flow stops 154,404 of 154,404 KZT internal; fragility=1.00, score=0.5685"
LOOP-197,reciprocal_loop,2,1,0,10125508.0,0.0096,100000003016635100,flow,97262.0,0.5684,47,"These 2 accounts return funds to each other, 10,125,508 KZT touching the set with 1% of it never leaving, which is worth checking against what each leg was said to be for.","reciprocal_loop: n=2, seeds=1, hop=0, through=10,125,508 KZT, retained=0.01; break 100000003016635100 by flow stops 97,262 of 97,262 KZT internal; fragility=1.00, score=0.5684"
CHN-003,chain,4,1,0,10094612.0,0.0043,100000002609774100,dominator,2.0,0.5678,48,"Funds appear to move through 4 accounts in sequence starting 0 hop(s) from a known client, 10,094,612 KZT touching the run and 0% of it staying inside, which is consistent with a transit route and worth checking step by step.","chain: n=4, seeds=1, hop=0, through=10,094,612 KZT, retained=0.00; break 100000002609774100 by dominator cuts 2 of 3 members; fragility=0.67, score=0.5678"
LOOP-073,reciprocal_loop,2,1,0,10102672.0,0.0011,100000001049200100,flow,11014.0,0.5676,49,"These 2 accounts return funds to each other, 10,102,672 KZT touching the set with 0% of it never leaving, which is worth checking against what each leg was said to be for.","reciprocal_loop: n=2, seeds=1, hop=0, through=10,102,672 KZT, retained=0.00; break 100000001049200100 by flow stops 11,014 of 11,014 KZT internal; fragility=1.00, score=0.5676"
CHN-018,chain,4,3,0,4190461.0,0.8072,100000008637537100,dominator,1.0,0.5668,50,"Funds appear to move through 4 accounts in sequence starting 0 hop(s) from a known client, 4,190,461 KZT touching the run and 81% of it staying inside, which is consistent with a transit route and worth checking step by step.","chain: n=4, seeds=3, hop=0, through=4,190,461 KZT, retained=0.81; break 100000008637537100 by dominator cuts 1 of 3 members; fragility=0.33, score=0.5668"
LOOP-292,reciprocal_loop,4,1,0,13171226.0,0.0287,100000005910114100,flow,334880.0,0.5666,51,"These 4 accounts return funds to each other, 13,171,226 KZT touching the set with 3% of it never leaving, which is worth checking against what each leg was said to be for.","reciprocal_loop: n=4, seeds=1, hop=0, through=13,171,226 KZT, retained=0.03; break 100000005910114100 by flow stops 334,880 of 377,898 KZT internal; fragility=0.89, score=0.5666"
BRG-050,bridge,111,1,0,3428249.0,0.9573,100000002527114100,articulation,110.0,0.5662,52,"These 110 accounts reach the rest of their community only through 100000002527114100, whose removal would detach 110 of them from 3,428,249 KZT of observed flow, which is worth checking as a shared route rather than a coincidence of the crawl.","bridge: n=111, seeds=1, hop=0, through=3,428,249 KZT, retained=0.96; break 100000002527114100 by articulation cuts 110 of 110 members; fragility=1.00, score=0.5662"
BRG-024,bridge,57,1,0,12180173.68,0.5382,100000003016635100,articulation,56.0,0.5636,53,"These 56 accounts reach the rest of their community only through 100000003016635100, whose removal would detach 56 of them from 12,180,174 KZT of observed flow, which is worth checking as a shared route rather than a coincidence of the crawl.","bridge: n=57, seeds=1, hop=0, through=12,180,174 KZT, retained=0.54; break 100000003016635100 by articulation cuts 56 of 56 members; fragility=1.00, score=0.5636"
LOOP-193,reciprocal_loop,4,1,0,11193477.0,0.0567,100000005287097100,flow,560223.0,0.5621,54,"These 4 accounts return funds to each other, 11,193,477 KZT touching the set with 6% of it never leaving, which is worth checking against what each leg was said to be for.","reciprocal_loop: n=4, seeds=1, hop=0, through=11,193,477 KZT, retained=0.06; break 100000005287097100 by flow stops 560,223 of 635,018 KZT internal; fragility=0.88, score=0.5621"
LOOP-333,reciprocal_loop,4,1,0,10228273.0,0.0415,100000005910114100,flow,382679.0,0.5617,55,"These 4 accounts return funds to each other, 10,228,273 KZT touching the set with 4% of it never leaving, which is worth checking against what each leg was said to be for.","reciprocal_loop: n=4, seeds=1, hop=0, through=10,228,273 KZT, retained=0.04; break 100000005910114100 by flow stops 382,679 of 424,179 KZT internal; fragility=0.90, score=0.5617"
LOOP-344,reciprocal_loop,4,1,0,11583084.0,0.0301,100000006866783100,flow,306299.0,0.5605,56,"These 4 accounts return funds to each other, 11,583,084 KZT touching the set with 3% of it never leaving, which is worth checking against what each leg was said to be for.","reciprocal_loop: n=4, seeds=1, hop=0, through=11,583,084 KZT, retained=0.03; break 100000006866783100 by flow stops 306,299 of 348,404 KZT internal; fragility=0.88, score=0.5605"
LOOP-125,reciprocal_loop,2,2,0,4176066.0,0.0999,100000001732159100,flow,417076.0,0.5604,57,"These 2 accounts return funds to each other, 4,176,066 KZT touching the set with 10% of it never leaving, which is worth checking against what each leg was said to be for.","reciprocal_loop: n=2, seeds=2, hop=0, through=4,176,066 KZT, retained=0.10; break 100000001732159100 by flow stops 417,076 of 417,076 KZT internal; fragility=1.00, score=0.5604"
LOOP-116,reciprocal_loop,4,1,0,13457347.0,0.0355,100000008686313100,flow,404474.0,0.5598,58,"These 4 accounts return funds to each other, 13,457,347 KZT touching the set with 4% of it never leaving, which is worth checking against what each leg was said to be for.","reciprocal_loop: n=4, seeds=1, hop=0, through=13,457,347 KZT, retained=0.04; break 100000008686313100 by flow stops 404,474 of 477,074 KZT internal; fragility=0.85, score=0.5598"
FAN-019,fan_out,20,0,1,10921401.0,0.7372,100000005242320100,articulation,19.0,0.5595,59,"One account spreads 10,921,401 KZT across 19 receivers, every one of them observed to the end with no onward transfer in the window, 74% of the money staying inside the set, which is worth checking as a dispersal point before the receivers are treated separately.","fan_out: n=20, seeds=0, hop=1, through=10,921,401 KZT, retained=0.74; receivers=19 observed/0 at crawl boundary; break 100000005242320100 by articulation cuts 19 of 19 members; fragility=1.00, score=0.5595"
BRG-028,bridge,40,3,0,3849150.0,0.6614,100000008346837100,articulation,39.0,0.5591,60,"These 39 accounts reach the rest of their community only through 100000008346837100, whose removal would detach 39 of them from 3,849,150 KZT of observed flow, which is worth checking as a shared route rather than a coincidence of the crawl.","bridge: n=40, seeds=3, hop=0, through=3,849,150 KZT, retained=0.66; break 100000008346837100 by articulation cuts 39 of 39 members; fragility=1.00, score=0.5591"
BRG-114,bridge,8,3,0,5020679.0,0.9156,100000008223661100,articulation,7.0,0.5579,61,"These 7 accounts reach the rest of their community only through 100000008223661100, whose removal would detach 7 of them from 5,020,679 KZT of observed flow, which is worth checking as a shared route rather than a coincidence of the crawl.","bridge: n=8, seeds=3, hop=0, through=5,020,679 KZT, retained=0.92; break 100000008223661100 by articulation cuts 7 of 7 members; fragility=1.00, score=0.5579"
LOOP-270,reciprocal_loop,2,1,0,2809200.0,0.4322,100000004135268100,flow,1214000.0,0.5571,62,"These 2 accounts return funds to each other, 2,809,200 KZT touching the set with 43% of it never leaving, which is worth checking against what each leg was said to be for.","reciprocal_loop: n=2, seeds=1, hop=0, through=2,809,200 KZT, retained=0.43; break 100000004135268100 by flow stops 1,214,000 of 1,214,000 KZT internal; fragility=1.00, score=0.5571"
FAN-021,fan_out,11,1,0,2730394.0,0.4921,100000005498992100,articulation,10.0,0.5564,63,"One account spreads 2,730,394 KZT across 10 receivers, every one of them observed to the end with no onward transfer in the window, 49% of the money staying inside the set, which is worth checking as a dispersal point before the receivers are treated separately.","fan_out: n=11, seeds=1, hop=0, through=2,730,394 KZT, retained=0.49; receivers=10 observed/0 at crawl boundary; break 100000005498992100 by articulation cuts 10 of 10 members; fragility=1.00, score=0.5564"
LOOP-350,reciprocal_loop,2,1,0,6760084.0,0.0404,100000006866783100,flow,273281.0,0.5561,64,"These 2 accounts return funds to each other, 6,760,084 KZT touching the set with 4% of it never leaving, which is worth checking against what each leg was said to be for.","reciprocal_loop: n=2, seeds=1, hop=0, through=6,760,084 KZT, retained=0.04; break 100000006866783100 by flow stops 273,281 of 273,281 KZT internal; fragility=1.00, score=0.5561"
LOOP-317,reciprocal_loop,4,1,0,13949931.0,0.0352,100000008686313100,flow,404474.0,0.556,65,"These 4 accounts return funds to each other, 13,949,931 KZT touching the set with 4% of it never leaving, which is worth checking against what each leg was said to be for.","reciprocal_loop: n=4, seeds=1, hop=0, through=13,949,931 KZT, retained=0.04; break 100000008686313100 by flow stops 404,474 of 490,861 KZT internal; fragility=0.82, score=0.5560"
LOOP-109,reciprocal_loop,4,1,0,10227573.0,0.0428,100000005910114100,flow,382679.0,0.5558,66,"These 4 accounts return funds to each other, 10,227,573 KZT touching the set with 4% of it never leaving, which is worth checking against what each leg was said to be for.","reciprocal_loop: n=4, seeds=1, hop=0, through=10,227,573 KZT, retained=0.04; break 100000005910114100 by flow stops 382,679 of 437,979 KZT internal; fragility=0.87, score=0.5558"
