formation_id,kind,n_members,n_seeds,min_hop_from_seed,kzt_through,kzt_retained_share,breaking_point_gid,breaking_point_method,breaking_point_effect,score,rank,hypothesis,evidence
FUN-001,funnel,4,1,0,12684846.0,0.0387,100000003684369100,articulation,3.0,0.6944,1,"The figures suggest 3 accounts sending a dominant share of their outflow into 100000003684369100, 12,684,846 KZT touching the set with 4% of it staying inside, which is worth checking as one collection point rather than 3 unrelated payers.","funnel: n=4, seeds=1, hop=0, through=12,684,846 KZT, retained=0.04; break 100000003684369100 by articulation cuts 3 of 3 members; fragility=1.00, score=0.6944"
FUN-004,funnel,5,0,1,18313240.0,0.5991,100000002224132100,articulation,4.0,0.676,2,"The figures suggest 4 accounts sending a dominant share of their outflow into 100000002224132100, 18,313,240 KZT touching the set with 60% of it staying inside, which is worth checking as one collection point rather than 4 unrelated payers.","funnel: n=5, seeds=0, hop=1, through=18,313,240 KZT, retained=0.60; break 100000002224132100 by articulation cuts 4 of 4 members; fragility=1.00, score=0.6760"
FUN-008,funnel,5,4,0,587266.0,0.2419,100000005382566100,articulation,4.0,0.6463,3,"The figures suggest 4 accounts sending a dominant share of their outflow into 100000005382566100, 587,266 KZT touching the set with 24% of it staying inside, which is worth checking as one collection point rather than 4 unrelated payers.","funnel: n=5, seeds=4, hop=0, through=587,266 KZT, retained=0.24; break 100000005382566100 by articulation cuts 4 of 4 members; fragility=1.00, score=0.6463"
FAN-011,fan_out,108,1,0,3440249.0,0.9308,100000002527114100,articulation,107.0,0.6446,4,"One account spreads 3,440,249 KZT across 107 receivers, every one of them observed to the end with no onward transfer in the window, 93% of the money staying inside the set, which is worth checking as a dispersal point before the receivers are treated separately.","fan_out: n=108, seeds=1, hop=0, through=3,440,249 KZT, retained=0.93; receivers=107 observed/0 at crawl boundary; break 100000002527114100 by articulation cuts 107 of 107 members; fragility=1.00, score=0.6446"
FAN-001,fan_out,44,1,0,15050614.0,0.4085,100000003684369100,articulation,43.0,0.6359,5,"One account spreads 15,050,614 KZT across 43 receivers, every one of them observed to the end with no onward transfer in the window, 41% of the money staying inside the set, which is worth checking as a dispersal point before the receivers are treated separately.","fan_out: n=44, seeds=1, hop=0, through=15,050,614 KZT, retained=0.41; receivers=43 observed/0 at crawl boundary; break 100000003684369100 by articulation cuts 43 of 43 members; fragility=1.00, score=0.6359"
FUN-005,funnel,4,3,0,279997.0,0.6893,100000004019124100,articulation,3.0,0.6343,6,"The figures suggest 3 accounts sending a dominant share of their outflow into 100000004019124100, 279,997 KZT touching the set with 69% of it staying inside, which is worth checking as one collection point rather than 3 unrelated payers.","funnel: n=4, seeds=3, hop=0, through=279,997 KZT, retained=0.69; break 100000004019124100 by articulation cuts 3 of 3 members; fragility=1.00, score=0.6343"
LOOP-126,reciprocal_loop,3,3,0,4190461.0,0.8052,100000001732159100,flow,3082066.0,0.6254,7,"These 3 accounts return funds to each other, 4,190,461 KZT touching the set with 81% of it never leaving, which is worth checking against what each leg was said to be for.","reciprocal_loop: n=3, seeds=3, hop=0, through=4,190,461 KZT, retained=0.81; break 100000001732159100 by flow stops 3,082,066 of 3,374,066 KZT internal; fragility=0.91, score=0.6254"
FAN-005,fan_out,37,1,0,11077604.68,0.4268,100000003016635100,articulation,36.0,0.6233,8,"One account spreads 11,077,605 KZT across 36 receivers, every one of them observed to the end with no onward transfer in the window, 43% of the money staying inside the set, which is worth checking as a dispersal point before the receivers are treated separately.","fan_out: n=37, seeds=1, hop=0, through=11,077,605 KZT, retained=0.43; receivers=36 observed/0 at crawl boundary; break 100000003016635100 by articulation cuts 36 of 36 members; fragility=1.00, score=0.6233"
FUN-002,funnel,4,1,0,1216626.0,0.2627,100000004015047100,articulation,3.0,0.6153,9,"The figures suggest 3 accounts sending a dominant share of their outflow into 100000004015047100, 1,216,626 KZT touching the set with 26% of it staying inside, which is worth checking as one collection point rather than 3 unrelated payers.","funnel: n=4, seeds=1, hop=0, through=1,216,626 KZT, retained=0.26; break 100000004015047100 by articulation cuts 3 of 3 members; fragility=1.00, score=0.6153"
BRG-006,bridge,83,3,0,17070959.75,0.5602,100000003684369100,articulation,82.0,0.61,10,"These 82 accounts reach the rest of their community only through 100000003684369100, whose removal would detach 82 of them from 17,070,960 KZT of observed flow, which is worth checking as a shared route rather than a coincidence of the crawl.","bridge: n=83, seeds=3, hop=0, through=17,070,960 KZT, retained=0.56; break 100000003684369100 by articulation cuts 82 of 82 members; fragility=1.00, score=0.6100"
