gid,role,rank_pagerank,rank_priority,rank_gap,in_deg,out_deg,in_kzt,out_kzt,pass_through,evidence
100000002224132100,coordinator,1,1,0,5,4,3951020.0,12115000.0,3.0662968043695047,"both sides active: in_deg=5, out_deg=4, in=3,951,020, out=12,115,000 KZT"
100000001677929100,peripheral,2,115,-113,3,2,126777.0,286098.0,2.2567027142147236,"no rule threshold met: in_deg=3, out_deg=2, in=126,777, out=286,098 KZT"
100000000706545100,peripheral,3,80,-77,3,1,1070300.0,75800.0,0.07082126506586939,"no rule threshold met: in_deg=3, out_deg=1, in=1,070,300, out=75,800 KZT"
100000004603109100,peripheral,4,55,-51,3,2,2730000.0,400000.0,0.14652014652014653,"no rule threshold met: in_deg=3, out_deg=2, in=2,730,000, out=400,000 KZT"
100000004221668100,peripheral,5,82,-77,4,3,1128300.0,731440.0,0.6482673047948241,"no rule threshold met: in_deg=4, out_deg=3, in=1,128,300, out=731,440 KZT"
100000006901046100,peripheral,6,156,-150,1,1,75800.0,5500.0,0.07255936675461741,"no rule threshold met: in_deg=1, out_deg=1, in=75,800, out=5,500 KZT"
100000002394199100,peripheral,7,140,-133,1,1,277398.0,76777.0,0.2767756076107254,"no rule threshold met: in_deg=1, out_deg=1, in=277,398, out=76,777 KZT"
100000002733905100,peripheral,8,137,-129,3,2,100000.0,717839.0,7.17839,"no rule threshold met: in_deg=3, out_deg=2, in=100,000, out=717,839 KZT"
100000002741024100,coordinator,9,17,-8,5,6,817980.85,434989.0,0.5317838431058625,"both sides active: in_deg=5, out_deg=6, in=817,981, out=434,989 KZT"
100000004892144100,peripheral,10,40,-30,2,1,4500000.0,180300.0,0.04006666666666667,"no rule threshold met: in_deg=2, out_deg=1, in=4,500,000, out=180,300 KZT"
100000005171642100,transit,11,22,-11,2,1,696800.0,683600.0,0.9810562571756601,"pass_through=0.98: in=696,800, out=683,600 KZT, dwell=0d"
100000005140601100,peripheral,12,102,-90,3,2,52685.0,195300.0,3.706937458479643,"no rule threshold met: in_deg=3, out_deg=2, in=52,685, out=195,300 KZT"
100000007629096100,peripheral,13,94,-81,4,1,1075170.0,765205.0,0.7117060557865268,"no rule threshold met: in_deg=4, out_deg=1, in=1,075,170, out=765,205 KZT"
100000001616816100,transit,14,29,-15,5,3,176195.0,181326.0,1.0291211441868384,"pass_through=1.03: in=176,195, out=181,326 KZT, dwell=1d"
100000008659445100,peripheral,15,173,-158,3,4,138490.0,875150.0,6.319228825185934,"no rule threshold met: in_deg=3, out_deg=4, in=138,490, out=875,150 KZT"
